Review ID,Username,Rating,Review Text,Date,label
9bcf9ba5-0774-44fb-94fa-7715467e62ed,Pengguna Google,3,"enggak bisa pesen tiket, jadwal kereta juga tidak muncul. please bikin aplikasi yang simpel aja seperti yang dulu.",2026-05-06 11:34:01,1
4e26e5ad-402e-47c5-9dd0-3b3891f0bd5a,Pengguna Google,5,pesan kereta lokal ud d ketik tujuan nya g keluar tiket nya,2026-05-06 11:25:44,1
b30c9366-0177-4213-b2b0-99129df3e65f,Pengguna Google,1,ngapain sih verifikasi otp lama banget,2026-05-06 9:43:23,1
6afc5170-edc4-4e5a-884e-039607719da5,Pengguna Google,5,"kapan aplikasinya bisa di gunakan kembali?, saya mau pesan tiket gagal terus",2026-05-06 9:33:50,1
3ce6a560-414b-4747-b6f8-d74c6fe19e5c,Pengguna Google,1,"Jujur untuk pengguna pembaca layar aplikasi ini setelah di update malah jadi nggak karuan. ketika kita mau memilih nama-nama kereta sekarang sudah tidak bisa terbaca semuanya, tolong untuk di perbaiki, jujur malah lebih akses versi lama ,nama nama kerertanya terbaca semuanya, tolong di buat seperti dulu ,biar akses sama pembaca layar, terima kasih.",2026-05-06 9:08:17,0
a83d86b3-a50c-481b-8871-b827f80d34e6,Pengguna Google,5,Knpa ya GK bisa d buka gimna cara. Buka nyak,2026-05-06 8:23:02,1
6f1e5e6b-f6de-4d37-9004-17c345e30f15,Pengguna Google,1,sering crash di hp Nokia 5.3 padahal aplikasi lain berjalan normal,2026-05-06 8:06:34,1
aad71222-1ca4-4e0a-bb54-ba9bee5f8a7a,Pengguna Google,5,bantuan cepat merespon,2026-05-06 6:56:28,0
87e7ad17-c2d4-4fbe-96d0-619f4368be79,Pengguna Google,5,luar biasa pelayanan KAI,2026-05-06 6:33:39,0
f3fbcc7a-ff3d-4475-a275-6000c2d655b1,Pengguna Google,2,"Sering trouble, tolong diperbaiki lagi",2026-05-06 5:54:44,1
599d69cd-c064-4020-8ba4-3c74905673ed,Pengguna Google,1,Kecewa banget... saat booking tiket hanya dikasih waktu 15 menit tapi isinya loading trus sampai habis waktunya. Metode pembayaran sangat terbatas. Alhasil pembelian tiketnya lewat traveloka. lebih mudah dan cepat tanpa waktu antrian.,2026-05-06 5:32:00,1
a80a96e3-d8ef-4ec7-84fc-9415301dfbcb,Pengguna Google,1,setelah update malah semakin buruk,2026-05-06 5:01:14,0
50b15638-58dd-4443-8065-1a3a39751972,Pengguna Google,3,semenjak pembaharuan banyak bug mohon di perbaiki ya,2026-05-06 4:54:37,1
2f03ed9c-8f8a-4711-bc3c-497f2fe02531,Pengguna Google,1,"susah bangey mau bayar,kenapa yaa ribett amat",2026-05-06 4:48:24,0
edb6cab1-63d6-4716-a760-e99c7ea8f092,Pengguna Google,1,ini knp pembayaran lewat mini market ga ada? service digitalnya kok menurun sih?,2026-05-06 4:39:39,0
8e76e7b0-1d0f-4831-aa2d-f8174a81d629,Pengguna Google,1,aplokasi buruk eror !!,2026-05-06 4:35:47,1
efdc04a7-2031-46c5-9139-cab5f7bb534b,Pengguna Google,1,"error jirr gabisa buka jadwal kereta commuter, buruan dibenerin skrg, butuh urgent hari ini nii",2026-05-06 4:29:59,1
5bd96cac-5e2e-475e-9516-aa6297fbccc0,Pengguna Google,1,sulit. pesen tiket untuk rute dilampung sulit. mau pesen tulisannya nunggu antri lah. maintancelah. muter muter lah. pembayaran kadang gak bisa. sering gagal pesenan tp mau pesen lagi katanya sudah dipesan. kadang di aplikasi penuh. antrian. pesen gak bisa. tp waktu naik di atas kreta banyak kursi yg kosong. harus 1 minggu dulu baru pesen tiketnya dapet. kan KAI ini besar. ngapalah aplikasinya gak dbuat yg bagus skalian. biar mudah pesen tiketnya.,2026-05-06 4:27:36,1
bc48e079-fa81-41ff-973f-ffb6542eb49b,Pengguna Google,1,"Aplikasi selalu mengalami lag, dan saya tidak bisa bayar menggunakan qris.",2026-05-06 4:21:31,1
cb0567a3-e0d7-4bd1-87f9-0c44d3edf68c,Pengguna Google,2,beli tiket susah banget gara-gara bug aplikasi. Ga bisa bayar,2026-05-06 4:17:02,1
c71b01f3-3ded-4b82-af5e-e3e7a4b54bdc,Pengguna Google,1,makin d update bukan bagus tp makin gk jelas tolong d perbaiki biar gk bikin repot,2026-05-06 4:10:08,0
8c9ee999-4a05-404b-8f13-c6866e87fe6f,Pengguna Google,1,Hp saya Infinix Note 30 versi android 14 dan hp istriku Android 10 masa gk kompatibel sih??? Dev nya siapa sih? ngawur banget.,2026-05-06 4:09:44,1
c57f2986-3fbc-4830-a17e-0aaa33658923,Pengguna Google,2,"habis update pembayaran malah susah,payahh",2026-05-06 3:43:46,1
99d9e575-c601-4f9a-bd93-d80c97cf4c96,Pengguna Google,1,"pesen pake antrian. ketika udah masuk ,udah milih kereta, masukan penumpang,pas mau bayar, malah pilhan KAIpay nya malah ngga muncul, dan sesi habis, suruh pesan ulang. dann pesen ulang malah selalu sesi habis. gimana coba....",2026-05-06 3:39:03,1
9f1b9639-ccf5-46de-abe7-761d60cef6ca,Pengguna Google,1,"aplikasi makin gajelas, mau book KA lokal ga ditemukan , mau book antar kota,Sesi Habis mulu . Hire Orang yang bener napa ,bisa bisanya sistem perusahaan BUMN bobrok begini",2026-05-06 3:27:49,1
9fe5475a-1d11-41b6-9ccd-6f99988625ad,Pengguna Google,1,aplikasi jelek. mau pesen tiket fitur qrisnya gakbisa. jangan persulit orang mau pesen tiket.,2026-05-06 3:25:52,1
5b4ec14f-48a9-4697-9f66-ac66487cc195,Pengguna Google,5,"mantab, cm akhir akhir ini sring error untuk pembayaran by OVO",2026-05-06 3:04:37,1
3bf97a21-0560-4f03-8594-92302b7ae7c7,Pengguna Google,5,Tingkatkan v terbaru..bahasa indo,2026-05-06 2:59:18,0
eb547e59-c2af-4cc0-9447-c919374e6782,Pengguna Google,3,"akhir2 ini access kai kalau error lama. alasannya pemeliharaan, tapi setelah pemeliharaan habis batas waktunya, aplikasi tambah amburadul",2026-05-06 2:53:45,1
c4819197-5a82-4a3b-ab17-f83479d5c691,Pengguna Google,5,"aplikasi nya bagus,tapi akhir² ini kayanya selalu loading yaa,dan itu lama banget.",2026-05-06 2:52:26,1
93f77c0f-c124-4e92-8099-ffabd0a22ab5,Pengguna Google,1,"Mau ubah jadwal koneksi internet gak stabil terus, padahal jaringan sebagus ini apalagi dibawa nge game pun ini jaringan bagus banget, tapi di aplikasi kai acces susah nya minta ampun",2026-05-06 2:49:47,1
44c32729-0622-41a4-b35c-95291fc4b55a,Pengguna Google,1,aplikasi sangat bagus,2026-05-06 2:40:02,0
d61b57f4-b8c8-4dc5-bd14-60e090bf5efe,Pengguna Google,1,gak jelas aplikasinya udah mulai rusak tah? untuk buka tiketnya aja lama banget sekarang & pembayaran juga lama banget gak secepat dulu,2026-05-06 2:35:39,1
35f79b26-80e3-46f0-be9b-7b34cc5d9796,Pengguna Google,5,BAGUUUUUUUUUS. MUDAH PRAKTIS AAMMAAN SEMOGA BANYAK PROMO,2026-05-06 2:25:23,0
8777b0f9-0731-4b14-8ac0-4da4a46fc9e0,Pengguna Google,1,sering banget down tolong la bnrin lagi keadaan darurat gini sering banget errornya,2026-05-06 2:22:15,1
c9eb9c86-8a14-414b-9162-7ff22a8f3c79,Pengguna Google,2,"Ada apa di hari ini ( Rabu 6 mei 2026 ) dengan Access By KAI ??? ga bisa di buka mau pesan tiket ??? apakah sedang perbaikan ??? jika perbaikan apakah lama ??? tolong secepatnya di perbaiki , terimakasih banyak",2026-05-06 2:13:48,1
c366abbd-a066-4053-af4d-bc9475498287,Pengguna Google,1,"keseringan trouble, poin tiba2 hilang. aneh",2026-05-06 2:12:34,1
